id	itemTime	trialNumber	name	type	question	relevance	competence	prior	condition	answer	RT	language	comments	engagement	difficulty
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961773057	1	tail-donkey blindfold	hhl	Grace and Oliver live in the same apartment.	1	1	0	test_uncertain	0.41	29369	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961780960	2	tail-donkey blindfold	hhl	It is important for Grace to know whether she put all of the tails in the right place.	1	1	0	rel	0.95	7902	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961795591	3	rotten tomatoes	hll	Gilbert is the cleaning lady.	1	0	0	test_false	0	14630	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961806351	4	rotten tomatoes	hll	All of the tomatoes are rotten.	1	0	0	prior	0.5	10759	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961828342	5	M&M's in the hospital	lhh	Aunt Bethany travelled a long distance to visit Henry in the hospital.	0	1	1	test_uncertain	0.5	21991	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961841542	6	M&M's in the hospital	lhh	Henry knows whether he liked all of the M&Ms.	0	1	1	comp	0.93	13200	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961862044	7	hotel check	hhh	Mr Jaynes is the manager of the San Diego hotel.	1	1	1	test_false	0.98	20501	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961869476	8	hotel check	hhh	From what Harry said we may conclude that not all of the rooms had working air conditioning.	1	1	1	imp	0.92	7431	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961909107	9	Martha's cookies	llh	Emily really enjoys chocolate.	0	0	1	test_true	1	39630	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961918619	10	Martha's cookies	llh	It is important for Martha's husband to know whether Emily ate all of the cookies.	0	0	1	rel	0.64	9511	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961933529	11	emails from a broken laptop	lll	Kate has difficulties sending emails.	0	0	0	test_true	0.69	14909	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961938985	12	emails from a broken laptop	lll	Joshua knows whether he received all of Kate's emails.	0	0	0	comp	0.24	5455	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961976223	13	Swiss watch protoype testing	hlh	The company uses spare parts imported from Malaysia.	1	0	1	test_uncertain	0.24	37237	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961984703	14	Swiss watch protoype testing	hlh	From what the apprentice said we may conclude that the prototype did not pass all of the tests scheduled for today.	1	0	1	imp	0.63	8479	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454961994263	15	underage drinking	lhl	The new laws on underage drinking are very strict.	0	1	0	test_true	1	9559	english	NA	10	3
A10DCC73F2CKHC:3L0KT67Y8FO31EO3RA6053XD5KLYSY	1454962001742	16	underage drinking	lhl	All of the patrons drinking alcohol are underage.	0	1	0	prior	0	7479	english	NA	10	3
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962877285	1	van Gogh exhibition	lhl	The van Gogh exhibition is an important event for the city.	0	1	0	test_true	0.65	23840	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962891155	2	van Gogh exhibition	lhl	From what the curator said we may conclude that not all of van Gogh's paintings are among the most valuable paintings in the world.	0	1	0	imp	0.88	13862	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962929292	3	gourmet desserts	lhh	Jeremy is madly in love with Claire.	0	0	1	test_uncertain	0.14	38127	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962939504	4	gourmet desserts	lhh	Claire knows whether all of their desserts are fantastic.	0	0	1	comp	0.19	10201	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962955816	5	stand-up comedy show	lll	Lennard is popular in Seattle.	0	0	0	test_true	0.84	16303	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962961842	6	stand-up comedy show	lll	It is important for Lennard's wife to know whether all of the people who came yesterday also came to today's show.	0	0	0	rel	0	6016	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962975227	7	tail-donkey blindfold	hhl	Grace and Oliver are playing charades.	1	1	0	test_false	0	13377	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454962983242	8	tail-donkey blindfold	hhl	From what Oliver said we may conclude that Grace did not put all of the tails in the right place.	1	1	0	imp	0.96	8003	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963020859	9	Martha's cookies	llh	Martha is allergic to chocolate.	0	0	1	test_uncertain	0.5	37607	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963027186	10	Martha's cookies	llh	Martha knows whether Emily ate all of the cookies.	0	0	1	comp	0.23	6317	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963039960	11	schizophrenia talk	hll	Lucy's talk is unlikely to stir much commotion.	1	0	0	test_false	0.4	12764	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963046533	12	schizophrenia talk	hll	From what Jacob said we may conclude that not all of the people enjoyed Lucy's talk.	1	0	0	imp	0.73	6567	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963141599	13	Swiss watch protoype testing	hlh	The company uses spare parts imported from Malaysia.	1	0	1	test_uncertain	0.5	95061	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963152114	14	Swiss watch protoype testing	hlh	It is important for Mr Papenhauser to know whether the prototype passed all of the tests scheduled for today.	1	0	1	rel	0.79	10506	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963173192	15	hotel check	hhh	Harry will inspect the Los Angeles hotel next.	1	1	1	test_uncertain	0.64	21068	English	None	7	4
A10DEO061A6L3O:3M0NZ3JDP262020XB0VBQZWNXUH5ZU	1454963178563	16	hotel check	hhh	From what Harry said we may conclude that not all of the rooms had working air conditioning.	1	1	1	imp	0.93	5351	English	None	7	4
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998254726	1	Martha's cookies	llh	Martha had dinner with a friend.	0	0	1	test_false	0.32	26193	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998264373	2	Martha's cookies	llh	From what Martha said we may conclude that Emily did not eat all of the cookies.	0	0	1	imp	0.9	9646	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998276886	3	underage drinking	lhl	The new laws on underage drinking are very strict.	0	1	0	test_true	0.98	12513	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998282975	4	underage drinking	lhl	All of the patrons drinking alcohol are underage.	0	1	0	prior	0.01	6088	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998293853	5	hotel check	hhh	Mr Jaynes is the manager of the San Diego hotel.	1	1	1	test_false	0.88	10878	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998301725	6	hotel check	hhh	Harry knows whether all of the rooms had working air conditioning.	1	1	1	comp	0.86	7872	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998326336	7	Swiss watch protoype testing	hlh	Testing of the prototype is finished.	1	0	1	test_false	0.07	24611	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998330542	8	Swiss watch protoype testing	hlh	It is important for Mr Papenhauser to know whether the prototype passed all of the tests scheduled for today.	1	0	1	rel	0.97	4206	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998346212	9	M&M's in the hospital	lhh	Aunt Bethany travelled a long distance to visit Henry in the hospital.	0	1	1	test_uncertain	0.65	15670	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998354062	10	M&M's in the hospital	lhh	Henry knows whether he liked all of the M&Ms.	0	1	1	comp	0.96	7850	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998368670	11	schizophrenia talk	hll	Jacob works as a psychologist.	1	0	0	test_true	0.91	14608	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998375628	12	schizophrenia talk	hll	From what Jacob said we may conclude that not all of the people enjoyed Lucy's talk.	1	0	0	imp	0.62	6958	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998388271	13	stand-up comedy show	lll	Lennard is a salesman for karaoke machines.	0	0	0	test_false	0	12643	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998396255	14	stand-up comedy show	lll	All of the people who came yesterday also came to today's show.	0	0	0	prior	0.25	7983	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998418049	15	NBA experts	hhl	Jason Barley and Richard Trellis have been close friends for almost three decades.	1	1	0	test_false	0.68	21794	English	Thanks for the work! :)	10	5
A11C9D55C41PB2:3BGYGHDBBYSKVUEY4AKZ5HJ4SCS22L	1454998435595	16	NBA experts	hhl	It is important for Richard Trellis to know whether Greg Jones secured victory for his team during the last seconds of all of the decisive playoff matches.	1	1	0	rel	0.79	17546	English	Thanks for the work! :)	10	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964338510	1	stand-up comedy show	lll	Lennard is a salesman for karaoke machines.	0	0	0	test_false	0.02	13593	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964352577	2	stand-up comedy show	lll	Lennard knows whether all of the people who came yesterday also came to today's show.	0	0	0	comp	0.37	14064	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964365341	3	Star Trek expert quiz	hhh	George asked ten questions about 'Star Wars'.	1	1	1	test_false	1	12762	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964385289	4	Star Trek expert quiz	hhh	It is important for Amber to know whether she got all of the answers right.	1	1	1	rel	0.63	19946	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964398563	5	rotten tomatoes	hll	Gilbert is a former drug addict.	1	0	0	test_uncertain	0.25	13273	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964405686	6	rotten tomatoes	hll	From what Gilbert said we may conclude that not all of the tomatoes are rotten.	1	0	0	imp	1	7122	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964424611	7	van Gogh exhibition	lhl	The curator refused to talk to the mayor.	0	1	0	test_false	0	18923	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964430009	8	van Gogh exhibition	lhl	The curator knows whether all of van Gogh's paintings are among the most valuable paintings in the world.	0	1	0	comp	0.55	5395	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964446980	9	Harvard admission exams	hlh	Ethan failed to study intensively for his exams.	1	0	1	test_false	0.41	16969	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964452643	10	Harvard admission exams	hlh	From what Eleanor said we may conclude that Ethan did not pass all of the exams.	1	0	1	imp	1	5661	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964464378	11	tail-donkey blindfold	hhl	Grace is unable to see where she has to pin the tails.	1	1	0	test_true	1	11733	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964474237	12	tail-donkey blindfold	hhl	Grace put all of the tails in the right place.	1	1	0	prior	0.47	9859	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964483627	13	gourmet desserts	lhh	Jeremy cares about good food.	0	0	1	test_true	0.62	9388	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964488219	14	gourmet desserts	lhh	From what Claire said we may conclude that not all of the restaurant's desserts are fantastic.	0	0	1	imp	1	4591	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964514051	15	Martha's cookies	llh	Martha is allergic to chocolate.	0	0	1	test_uncertain	1	25829	english	none	5	5
A11S43P3WNLIZD:3JV9LGBJWUMOHVBAQN3LEYG83ZSOGT	1454964525555	16	Martha's cookies	llh	Emily ate all of the cookies.	0	0	1	prior	0.54	11500	english	none	5	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962194591	1	emails from a broken laptop	lll	Kate's laptop has a problem with the wifi connection.	0	0	0	test_uncertain	0.58	38150	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962206652	2	emails from a broken laptop	lll	Joshua received all of Kate's emails.	0	0	0	prior	0.79	12057	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962230617	3	Martha's cookies	llh	Martha is allergic to chocolate.	0	0	1	test_uncertain	0.5	23960	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962242757	4	Martha's cookies	llh	From what Martha said we may conclude that Emily did not eat all of the cookies.	0	0	1	imp	0.82	12134	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962259929	5	schizophrenia talk	hll	Lucy's talk is unlikely to stir much commotion.	1	0	0	test_false	0.17	17167	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962266202	6	schizophrenia talk	hll	All of the people enjoyed Lucy's talk.	1	0	0	prior	0.44	6267	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962299375	7	van Gogh exhibition	lhl	The curator refused to talk to the mayor.	0	1	0	test_false	0	33167	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962311313	8	van Gogh exhibition	lhl	From what the curator said we may conclude that not all of van Gogh's paintings are among the most valuable paintings in the world.	0	1	0	imp	0.27	11932	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962353483	9	gift unwrapping	lhh	Suzanne attended Leonard's birthday party.	0	1	1	test_true	1	42166	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962360084	10	gift unwrapping	lhh	It is important for Suzanne's mother to know whether Leonard unwrapped all of the presents right away.	0	1	1	rel	0.25	6595	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962405825	11	Swiss watch protoype testing	hlh	The company uses spare parts imported from Malaysia.	1	0	1	test_uncertain	0.17	45735	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962417780	12	Swiss watch protoype testing	hlh	From what the apprentice said we may conclude that the prototype did not pass all of the tests scheduled for today.	1	0	1	imp	0.93	11949	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962452968	13	hotel check	hhh	Mr Jaynes is the manager of the San Diego hotel.	1	1	1	test_false	0.22	35184	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962462009	14	hotel check	hhh	It is important for Mr Jaynes to know whether all of the rooms had working air conditioning.	1	1	1	rel	0.96	9036	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962479554	15	tail-donkey blindfold	hhl	Grace is unable to see where she has to pin the tails.	1	1	0	test_true	1	17539	English	NA	9	5
A130UW3VJCW7A0:3WEV0KO0ON0033TCVEJMSINCNWFDS5	1454962484081	16	tail-donkey blindfold	hhl	Oliver knows whether Grace put all of the tails in the right place.	1	1	0	comp	1	4521	English	NA	9	5
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961219223	1	Star Trek expert quiz	hhh	Amber won the game.	1	1	1	test_uncertain	1	24338	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961238714	2	Star Trek expert quiz	hhh	From what George said we may conclude that Amber did not get all of the answers right.	1	1	1	imp	1	19491	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961282720	3	emails from a broken laptop	lll	Kate has difficulties sending emails.	0	0	0	test_true	0.3	44005	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961288560	4	emails from a broken laptop	lll	Joshua knows whether he received all of Kate's emails.	0	0	0	comp	0	5839	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961314795	5	NBA experts	hhl	Greg Jones' team is in the playoffs of this year's NBA season.	1	1	0	test_true	0.13	26235	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961322859	6	NBA experts	hhl	Greg Jones secured victory for his team during the last seconds of all of the decisive playoff matches.	1	1	0	prior	0.11	8064	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961340511	7	M&M's in the hospital	lhh	Aunt Bethany gave Henry only candy.	0	1	1	test_false	0	17652	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961348499	8	M&M's in the hospital	lhh	Henry knows whether he liked all of the M&Ms.	0	1	1	comp	0.78	7988	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961414058	9	Harvard admission exams	hlh	Eleanor passed some of her exams.	1	0	1	test_uncertain	0.89	65558	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961422528	10	Harvard admission exams	hlh	It is important for Ethan to know whether he passed all of the exams.	1	0	1	rel	0.87	8470	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961445298	11	Martha's cookies	llh	Emily really enjoys chocolate.	0	0	1	test_true	0.15	22769	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961453724	12	Martha's cookies	llh	Emily ate all of the cookies.	0	0	1	prior	0.6	8426	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961475330	13	van Gogh exhibition	lhl	The curator refused to talk to the mayor.	0	1	0	test_false	0	21605	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961482662	14	van Gogh exhibition	lhl	It is important for the mayor to know whether all of van Gogh's paintings are among the most valuable paintings in the world.	0	1	0	rel	0.1	7331	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961502514	15	schizophrenia talk	hll	Lucy is really nervous about the talk. 	1	0	0	test_uncertain	0.24	19851	english	NA	9	9
A13CBHSP2558HR:3GFK2QRXXAPY67VS0DB4RV25GSDW5V	1454961509602	16	schizophrenia talk	hll	From what Jacob said we may conclude that not all of the people enjoyed Lucy's talk.	1	0	0	imp	0.88	7087	english	NA	9	9
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961257421	1	Harvard admission exams	hlh	Ethan is trying to get into an Ivy League university.	1	0	1	test_true	1	24141	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961271654	2	Harvard admission exams	hlh	From what Eleanor said we may conclude that Ethan did not pass all of the exams.	1	0	1	imp	0.68	14231	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961283172	3	gourmet desserts	lhh	Jeremy cares about good food.	0	0	1	test_true	1	11516	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961295188	4	gourmet desserts	lhh	All of the restaurant's desserts are fantastic.	0	0	1	prior	0.63	12014	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961309148	5	stand-up comedy show	lll	Lennard is making plans for his early retirement.	0	0	0	test_uncertain	0.37	13958	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961327429	6	stand-up comedy show	lll	Lennard knows whether all of the people who came yesterday also came to today's show.	0	0	0	comp	0.58	18279	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961339244	7	schizophrenia talk	hll	Lucy is really nervous about the talk. 	1	0	0	test_uncertain	0.58	11813	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961354100	8	schizophrenia talk	hll	From what Jacob said we may conclude that not all of the people enjoyed Lucy's talk.	1	0	0	imp	0.68	14854	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961363621	9	van Gogh exhibition	lhl	The curator refused to talk to the mayor.	0	1	0	test_false	0	9517	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961372557	10	van Gogh exhibition	lhl	All of van Gogh's paintings are among the most valuable paintings in the world.	0	1	0	prior	0.79	8933	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961389365	11	Martha's cookies	llh	Emily really enjoys chocolate.	0	0	1	test_true	1	16806	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961418957	12	Martha's cookies	llh	From what Martha said we may conclude that Emily did not eat all of the cookies.	0	0	1	imp	0.24	29590	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961429644	13	Star Trek expert quiz	hhh	Amber won the game.	1	1	1	test_uncertain	0.66	10686	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961437300	14	Star Trek expert quiz	hhh	George knows whether Amber got all of the answers right.	1	1	1	comp	0.86	7654	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961457164	15	tail-donkey blindfold	hhl	Grace is unable to see where she has to pin the tails.	1	1	0	test_true	1	19862	english	thank you!	10	6
A13O647FD24R4V:3KKG4CDWKJ65YSEKTXI28JOGIVY499	1454961478270	16	tail-donkey blindfold	hhl	From what Oliver said we may conclude that Grace did not put all of the tails in the right place.	1	1	0	imp	0.99	21104	english	thank you!	10	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961742683	1	schizophrenia talk	hll	Lucy is really nervous about the talk. 	1	0	0	test_uncertain	0.63	16781	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961756970	2	schizophrenia talk	hll	From what Jacob said we may conclude that not all of the people enjoyed Lucy's talk.	1	0	0	imp	0.72	14287	English	NA	7	6
