"","id","itemTime","name","type","question","relevance","competence","prior","condition","answer","RT","language","comments","engagement","difficulty","time"
"1","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878718629,"Gigi's exams","hlh","Gigi aspires to a career in science.",1,0,1,"test_uncertain",0.51,18669,"English","none",7,3,307316
"2","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878738323,"Gigi's exams","hlh","Carrie knows whether Gigi passed both her Physics exam and her Chemistry exam.",1,0,1,"comp",0.72,19690,"English","none",7,3,307316
"3","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878764500,"Mrs Sanders' son","hhl","Ted is Mrs Sanders' husband.",1,1,0,"test_false",0,26174,"English","none",7,3,307316
"4","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878808762,"Mrs Sanders' son","hhl","If Ted had pizza, it is likely that he also had pasta.",1,1,0,"prior",0.18,44258,"English","none",7,3,307316
"5","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878814148,"Mrs Sanders' son","hhl","If Ted had pasta, it is likely that he also had pizza.",1,1,0,"prior",0.18,5379,"English","none",7,3,307316
"6","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878850723,"Leo's wife","hll","Leo is an avid golf player.",1,0,0,"test_uncertain",0.86,36573,"English","none",7,3,307316
"7","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878866612,"Leo's wife","hll","From what Hans said we may conclude that the player in question didn't make a hole-in-one on both the first and the second hole.",1,0,0,"xor",1,15884,"English","none",7,3,307316
"8","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878875165,"Bill's order","lhh","Jake and Bill spent a lot of time together that day.",0,1,1,"test_true",0.76,8549,"English","none",7,3,307316
"9","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878892342,"Bill's order","lhh","If Bill ordered a side dish, it is likely that he also ordered a starter.",0,1,1,"prior",0.5,17173,"English","none",7,3,307316
"10","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878897162,"Bill's order","lhh","If Bill ordered a starter, it is likely that he also ordered a side dish.",0,1,1,"prior",0.5,4817,"English","none",7,3,307316
"11","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878922461,"Tony's clubbing","lhl","Tony has to work at club Macabre tonight.",0,1,0,"test_false",0,25297,"English","none",7,3,307316
"12","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878932911,"Tony's clubbing","lhl","Rob knows whether they play both Jazz and Metal at the club tonight.",0,1,0,"comp",0.99,10446,"English","none",7,3,307316
"13","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878965788,"Harold's pet","lll","Harold's girlfriend didn't want a pet in her house before.",0,0,0,"test_true",0.77,32873,"English","none",7,3,307316
"14","A10DEO061A6L3O:3WQ3B2KGE9O7UMWY4ZDW1RC3QASB18",1445878973288,"Harold's pet","lll","It is important for Tom to know whether Harold bought both a cat and a dog.",0,0,0,"rel",0.03,7492,"English","none",7,3,307316
