id,itemTime,trialNumber,name,type,utterance,relevance,competence,prior,condition,trialType,answer,RT,language,comments,engagement,difficulty
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105188158,1,Brad's clothes,hlh,Brad is not happy about the fact that his friends make jokes about his shabby clothes.,1,0,1,test,test_true,0.92,45675,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105205878,2,Brad's clothes,hlh,From what Gina said we may conclude that Brad did not buy pair of jeans as well.,1,0,1,critical,exh1,0.68,17716,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105265347,3,Danny's racket,hhh,Danny and Alex went to the sports store together.,1,1,1,test,test_false,0.96,59467,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105271540,4,Danny's racket,hhh,From what Alex's girlfriend said we may conclude that Alex did not buy a racket as well.,1,1,1,critical,exh2,0.07,6190,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105309818,5,Tony's clubbing,lhl,Rob is a big fan of Techno music as well.,0,1,0,test,test_uncertain,0.9,38276,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105319626,6,Tony's clubbing,lhl,From what Rob said we may conclude that they do not play Metal as well.,0,1,0,critical,exh1,0.89,9806,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105352750,7,Gigi's exams,hlh,Gigi studied hard to pass her exams.,1,0,1,test,test_true,1,33121,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105361720,8,Gigi's exams,hlh,From what Carrie said we may conclude that Gigi did not pass her Physics exam as well.,1,0,1,critical,exh2,0.05,8968,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105401946,9,Leo's wife,hll,Leo is an avid golf player.,1,0,0,test,test_uncertain,0.98,40223,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105431822,10,Leo's wife,hll,From what Hans said we may conclude that the player in question didn't make a hole-in-one on the first hole as well,1,0,0,critical,exh2,0.08,29873,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105451011,11,Gerald's graduation,llh,Nico finally graduated after studying for a long time.,0,0,1,test,test_false,1,19186,Enlgish,Thank you,9,2
A10H1H4FU0S098:39U1BHVTDMZ30B4URPI0PEXMW4DT3N,1450105460890,12,Gerald's graduation,llh,From what Nico said we may conclude that Gerald's father did not attend the ceremony as well.,0,0,1,critical,exh1,0.82,9877,Enlgish,Thank you,9,2
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032250768,1,Gerald's graduation,llh,Gerald is friends with both Nico and Rick.,0,0,1,test,test_true,1,11786,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032258161,2,Gerald's graduation,llh,From what Nico said we may conclude that Gerald's father did not attend the ceremony as well.,0,0,1,critical,exh1,0.64,7393,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032279736,3,Leo's wife,hll,Leo is an avid golf player.,1,0,0,test,test_uncertain,0.86,21575,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032288882,4,Leo's wife,hll,From what Hans said we may conclude that the player in question didn't make a hole-in-one on the second hole as well.,1,0,0,critical,exh1,0.58,9146,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032303709,5,Joshua's delay,llh,"Kevin, Cory and Joshua are brothers.",0,0,1,test,test_false,0.18,14827,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032314775,6,Joshua's delay,llh,From what Cory said we may conclude that Joshua did not have to eat lunch as well.,0,0,1,critical,exh2,0.36,11066,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032328885,7,Harold's pet,lll,Harold's girlfriend gave in because Harold kept nagging her about wanting a pet.,0,0,0,test,test_uncertain,0.37,14110,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032333484,8,Harold's pet,lll,From what Richard said we may conclude that Harold did not buy a dog as well.,0,0,0,critical,exh1,0.57,4599,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032348419,9,Gigi's exams,hlh,Gigi hired a private tutor to help her with her Biology and Chemistry exams.,1,0,1,test,test_false,0.5,14930,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032355544,10,Gigi's exams,hlh,From what Carrie said we may conclude that Gigi did not pass her Physics exam as well.,1,0,1,critical,exh2,0.3,7125,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032369561,11,Pete's accident,hhl,Pete's mother was not there when he fell of the slide.,1,1,0,test,test_true,0.99,14012,English,NA,8,3
A10ZXERA24IG75:3ZR9AIQJUCHN2YQ7T1Z9F8NNDTX40S,1450032374548,12,Pete's accident,hhl,From what Pete's teacher said we may conclude that Pete did not break his arm as well.,1,1,0,critical,exh2,0.7,4982,English,NA,8,3
A110KENBXU7SUJ:3UJ1CZ6IZIX5ZQEJG813U6ZK8HR5S1,1450105870532,1,Mrs Sanders' son,hhl,Mrs Sanders had pasta for lunch yesterday.,1,1,0,test,test_uncertain,0.2,14740,English,NA,7,4
A110KENBXU7SUJ:3UJ1CZ6IZIX5ZQEJG813U6ZK8HR5S1,1450105887117,2,Mrs Sanders' son,hhl,From what Mrs Sanders said we may conclude that Ted did not have pasta as well.,1,1,0,critical,exh1,0.47,16584,English,NA,7,4
A110KENBXU7SUJ:3UJ1CZ6IZIX5ZQEJG813U6ZK8HR5S1,1450105904647,3,Danny's racket,hhh,Danny and Alex went to the sports store together.,1,1,1,test,test_false,0.05,17529,English,NA,7,4
A110KENBXU7SUJ:3UJ1CZ6IZIX5ZQEJG813U6ZK8HR5S1,1450105916223,4,Danny's racket,hhh,From what Alex's girlfriend said we may conclude that Alex did not buy a pair of shoes as well.,1,1,1,critical,exh1,0.42,11576,English,NA,7,4
A110KENBXU7SUJ:3UJ1CZ6IZIX5ZQEJG813U6ZK8HR5S1,1450105941885,5,Joshua's delay,llh,Kevin and Cory expected Joshua to arrive earlier.,0,0,1,test,test_true,0.57,25661,English,NA,7,4
A110KENBXU7SUJ:3UJ1CZ6IZIX5ZQEJG813U6ZK8HR5S1,1450105950829,6,Joshua's delay,llh,From what Cory said we may conclude that Joshua did not have to eat lunch as well.,0,0,1,critical,exh2,0.43,8943,English,NA,7,4
